,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
98,hualmay,41,PE,1604736764,86,-11.1,-77.61,59.14,4.63
99,ilinskaya,100,RU,1604737091,74,45.72,40.72,48,13.62
100,leirvik,100,NO,1604737091,99,59.78,5.5,46.99,1.01
101,kharan,0,PK,1604737091,13,28.58,65.42,83.12,3.89
102,shimoda,75,JP,1604736749,88,34.67,138.95,68,12.75
103,katakwi,48,UG,1604737091,57,1.89,33.97,80.58,1.95
104,dingle,100,PH,1604736743,95,11,122.67,74.28,5.7
105,opuwo,6,NA,1604737092,13,-18.06,13.84,85.98,6.87
106,bom jesus,74,BR,1604737092,95,-9.07,-44.36,68.77,2.17
107,torbat-e jam,100,IR,1604737092,13,35.24,60.62,79.18,13.24
108,buta,100,CD,1604737092,84,2.79,24.73,76.68,3.62
109,pampa,1,US,1604737092,87,35.54,-100.96,55.4,16.11
110,khatanga,0,RU,1604736735,88,71.97,102.5,-5.33,8.46
111,tahta,0,EG,1604737092,46,26.77,31.5,73.4,5.82
112,praia,75,CV,1604736881,83,14.92,-23.51,77,9.17
113,hilo,75,US,1604736611,88,19.73,-155.09,73.4,4.7
114,champerico,99,GT,1604737093,97,14.3,-91.92,69.01,7.38
115,lebu,2,CL,1604736722,83,-37.62,-73.65,50.49,17.56
116,los llanos de aridane,20,ES,1604736728,59,28.66,-17.92,64.4,9.17
117,iquique,90,CL,1604737093,67,-20.22,-70.14,62.6,2.24
118,syracuse,20,IT,1604737093,100,37.09,15.28,68,4.7
119,cabo san lucas,0,MX,1604736602,89,22.89,-109.91,73,1.01
120,murray bridge,0,AU,1604737093,69,-35.12,139.27,60.01,3
121,channel-port aux basques,100,CA,1604737093,87,47.57,-59.14,49.08,21.74
122,hobyo,40,SO,1604736750,68,5.35,48.53,82.83,14.07
123,komsomolskiy,1,UZ,1604737094,18,40.43,71.72,62.6,4.7
124,port hardy,75,CA,1604736904,72,50.7,-127.42,42.8,11.41
125,ribeira grande,40,PT,1604736731,67,38.52,-28.7,59,23.04
126,sorkjosen,100,NO,1604737094,86,69.8,20.93,36.27,8.08
127,naze,40,JP,1604736718,78,28.37,129.48,82.4,3.36
128,stokmarknes,75,NO,1604737094,80,68.56,14.91,41,12.75
129,puerto quijarro,0,BO,1604737094,37,-17.78,-57.77,73.53,2.64
130,saldanha,2,ZA,1604736729,72,-33.01,17.94,62.6,12.75
131,vagur,100,FO,1604737095,63,61.47,-6.81,45.32,9.35
132,benguela,75,AO,1604737095,74,-12.58,13.41,78.8,6.55
133,faya,20,SA,1604736766,45,18.39,42.45,73.4,5.82
134,shimanovsk,100,RU,1604737095,98,52,127.7,26.02,3.65
135,te anau,100,NZ,1604736767,86,-45.42,167.72,43.39,6.4
136,torbay,90,CA,1604736540,93,47.67,-52.73,55,20.8
137,chuy,34,UY,1604736757,95,-33.7,-53.46,59.11,6.42
138,mamaku,60,NZ,1604737095,99,-38.1,176.08,63,6.82
139,turkistan,100,KZ,1604737096,18,43,68,68.7,7.67
140,chicama,94,PE,1604736801,86,-7.84,-79.15,59.22,2.71
141,turayf,0,SA,1604737096,63,31.67,38.66,64.4,13.87
142,kodiak,1,US,1604736718,92,57.79,-152.41,28.4,3.36
143,norman wells,90,CA,1604736686,92,65.28,-126.83,12.2,3.31
144,sabzevar,0,IR,1604737096,18,36.21,57.68,69.8,5.84
145,palasa,3,IN,1604736856,61,18.77,84.42,83.46,9.31
146,nanortalik,100,GL,1604736737,88,60.14,-45.24,34.12,16.35
147,santa maria,27,BR,1604737097,94,-29.68,-53.81,57.92,7.38
149,kaitangata,100,NZ,1604737097,84,-46.28,169.85,46.99,4
150,camapua,0,BR,1604737097,38,-19.53,-54.04,74.01,6.8
153,beloha,0,MG,1604736735,17,-25.17,45.05,101.66,1.99
154,vila franca do campo,75,PT,1604736725,67,37.72,-25.43,59,13.87
155,isangel,1,VU,1604737098,80,-19.55,169.27,78.96,4.76
156,cherrapunji,20,IN,1604737098,78,25.3,91.7,78.8,2.24
